stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1101,台泥,0.1,-1.58,12.21,-1.61,-0.32,-3.69,18.72,0.23,1.86,8.42,4.66,1.84,3.63,7.53,1.43,0.0,0.0,0.0,0.76,0.85,0.75,,,False,False,False,False,False,False,False,2026-06-08 18:34:35,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:38
1216,統一,1.15,3.7,57.48,0.18,-13.05,2.26,33.78,2.05,0.62,5.86,3.27,-0.05,5.58,2.43,0.71,19.7,21.3,18.76,2.86,3.08,2.72,,,False,False,False,False,False,False,False,2026-06-08 18:34:38,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:41
1319,東陽,1.62,5.57,1.85,-8.03,28.78,2.54,32.51,-1.17,-5.58,15.76,-2.31,-8.57,16.73,-2.42,-3.89,17.56,17.58,11.45,1.98,1.99,1.55,,,False,False,False,False,False,False,False,2026-06-08 18:34:41,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:44
1476,儒鴻,6.69,20.67,3.06,-6.28,25.38,0.69,32.17,1.98,1.97,22.81,3.65,1.74,19.07,1.99,1.16,16.33,17.61,15.48,3.37,3.63,3.0,,,False,False,False,False,False,False,False,2026-06-08 18:34:44,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:47
1503,士電,2.79,6.72,3.4,-19.52,-24.08,32.53,23.77,6.57,0.21,16.05,9.02,-0.06,13.11,8.53,0.95,34.28,39.94,26.97,3.16,3.68,2.48,,,False,False,False,False,False,False,False,2026-06-08 18:34:47,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:50
1513,中興電,1.94,8.23,2.31,-6.87,8.16,5.86,25.98,-1.02,0.55,18.54,0.95,-0.2,14.79,0.29,1.18,20.6,22.72,18.04,3.89,4.29,3.41,,,False,False,False,False,False,False,False,2026-06-08 18:34:50,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:53
1514,亞力,0.73,3.44,0.86,7.89,-11.15,40.12,17.54,-2.52,-1.15,8.36,-3.43,-0.86,7.93,-1.72,-0.25,36.44,43.59,31.21,5.18,6.19,4.41,,,False,False,False,False,False,False,False,2026-06-08 18:34:53,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:56
1519,華城,3.29,14.55,2.25,10.43,65.76,6.38,43.61,1.41,7.76,21.2,1.98,-0.68,21.36,0.89,2.08,56.01,65.83,52.92,31.25,35.85,24.06,,,False,False,False,False,False,False,False,2026-06-08 18:34:56,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:34:59
1532,勤美,-0.09,1.16,1.1,-11.22,1.51,5.47,21.6,-2.61,1.52,1.48,-3.57,2.59,-0.73,-4.37,3.08,18.8,22.37,17.44,0.61,0.62,0.56,,,False,False,False,False,False,False,False,2026-06-08 18:34:59,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:35:02
1560,中砂,2.94,10.26,0.83,-0.13,10.39,17.78,35.0,0.82,4.09,19.38,3.89,3.49,19.28,-3.61,3.0,64.0,73.18,54.44,11.73,13.42,9.1,,,False,False,False,False,False,False,False,2026-06-08 18:35:02,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:35:05
