stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1101,台泥,3,15.0,2026-06-10,3,4.44,4.44,1.71,1.44,2026-06-10,2026-06-09,2026-06-08,0.0,2836923,2836923,-934161,1494657,0.5,-23,-23,45,152,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:21:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:17
1216,統一,3,15.0,2026-06-10,3,2.51,2.51,4.1,0.04,2026-06-10,2026-06-09,2026-06-08,0.0,-837903,-837903,1214761,-10771,-0.5,-158,-158,-238,7,-0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:21:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:16
1319,東陽,3,15.0,2026-06-10,3,14.92,14.92,9.85,6.01,2026-06-10,2026-06-09,2026-06-08,0.0,3132973,3132973,2149525,1045487,1.0,-150,-150,-162,-27,-1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:17
1476,儒鴻,3,15.0,2026-06-10,3,0.09,0.09,1.85,6.05,2026-06-10,2026-06-09,2026-06-08,0.0,-1792,-1792,40950,-173092,-0.5,66,66,-13,269,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:21:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:16
1503,士電,3,15.0,2026-06-10,3,1.94,1.94,0.79,0.01,2026-06-10,2026-06-09,2026-06-08,0.0,-227608,-227608,-108348,1479,-0.5,97,97,92,43,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:18
1513,中興電,3,15.0,2026-06-10,3,0.11,0.11,4.11,0.3,2026-06-10,2026-06-09,2026-06-08,0.0,-20074,-20074,-900088,-112387,-1.0,53,53,43,15,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:21:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:18
1514,亞力,3,15.0,2026-06-10,3,3.98,3.98,2.79,5.0,2026-06-10,2026-06-09,2026-06-08,0.0,-470913,-470913,-561526,-729133,-1.0,116,116,73,121,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:21:16,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:27
1519,華城,3,15.0,2026-06-10,3,2.67,2.67,1.02,1.32,2026-06-10,2026-06-09,2026-06-08,0.0,-164383,-164383,-57875,-118546,-1.0,204,204,59,148,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:21:16,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:30
1532,勤美,3,15.0,2026-06-10,3,2.39,2.39,8.05,0.3,2026-06-10,2026-06-09,2026-06-08,0.0,75000,75000,113990,-6907,0.5,-51,-51,-25,2,-0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:21:17,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:26
1560,中砂,3,15.0,2026-06-10,3,5.26,5.26,0.37,4.08,2026-06-10,2026-06-09,2026-06-08,0.0,-167008,-167008,10225,-124396,-0.5,284,284,110,269,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:17,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:21:30
