stock_id,name,產業,新聞
1476,儒鴻,儒鴻產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,1476儒鴻-一股作氣很難嗎？-股市爆料同學會-CMoney；世足賽效應儒鴻、聚陽、遠東新都受惠-經濟日報；【即時…
1503,士電,士電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,輝達800V革命來了！士電與「這1檔」EPS飆高、提前卡位狂吃HVDC大商機訂單已滿到2029年-Yahoo股市；…
1513,中興電,中興電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,中興電營運創高，預期成長穩。-CMoney；使出十萬伏特！「這檔」累漲18.6%攜7檔飆漲停華城、士電、中興電、亞…
1514,亞力,亞力產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,1514亞力-股市最新爆料，掌握股友們對眾個股股價、技術分析、新聞的第一手...-股市爆料同學會-CMoney；使…
1519,華城,華城產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,使出十萬伏特！「這檔」累漲18.6%攜7檔飆漲停華城、士電、中興電、亞力訂單直達2028年-Yahoo股市；151…
1560,中砂,中砂產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,台燿(6274)--券商分點進出買賣統計-股市爆料同學會-CMoney；1表看》他們低調大發AI財！新應材、中砂、…
1597,直得,直得產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,1597直得-散戶不賣就是繼續盤🚬-股市爆料同學會-CMoney；2026COMPUTEX概念股懶人包》黃仁勳Ve…
1727,中華化,中華化產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,1727中華化-這數子告訴我明天100收ˋˇˊ-股市爆料同學會-CMoney；稱冠亞太！調查揭露台灣富豪最愛買上市…
1760,寶齡富錦,寶齡富錦產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,寶齡富錦(1760)--券商分點進出買賣統計-股市爆料同學會-CMoney；台股大漲你獨賠？股市韭菜公開「死亡筆記…
1802,台玻,台玻產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,1802台玻-走勢的關鍵與因應策略-股市爆料同學會-CMoney；熱門股》日本東紡大漲台玻跟進-自由時報；1802…
2049,上銀,上銀產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,2049上銀-360驚險守住-股市爆料同學會-CMoney；盤中速報-上銀(2049)大跌7.1%，報360元-n…
2059,川湖,川湖產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,2059川湖-COMPUTEX熱潮點燃台股-股市爆料同學會-CMoney；處置股追蹤0526／今日新增10檔，國巨…
2233,宇隆,宇隆產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,2233宇隆-放空的快點補喔！-股市爆料同學會-CMoney；宇隆衝刺機器人報捷-經濟日報；〈COMPUTEX〉宇…
2301,光寶科,光寶科產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,「大家好」領台股飆逾千點！黃仁勳MGX背板驚見愛店富霸王豬腳、花娘小館成亮點-Yahoo股市；6月絕地大反攻，這些…
2308,台達電,台達電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,AI算力撞牆！台積電下令「能效優先」，奇鋐、台達電等10大關鍵供應鏈搶攻節能技術紅利｜股市話題-sinotrade…
2313,華通,華通產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,SpaceX上市進入倒數，台股衛星供應鏈如何觀察？｜股市話題｜豐雲學堂2026年06月-sinotrade.com…
2317,鴻海,鴻海產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,今日漲停股｜AI伺服器與面板雙引擎齊發，鴻海、廣達、群創領銜台股強勢攻頂0529｜豐雲學堂2026年06月-sin…
2327,國巨*,國巨*產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【台股5月風雲榜】國巨華新科「被動元件七雄」齊飛天禾伸堂狂飆逾200%稱王-Yahoo股市；處置股追蹤0526／今…
2360,致茂,致茂產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,致茂、均華...台積電布局次世代封裝「CoPoS」，3台廠吃下雙重商機-烱叔台股攻略-台股-商周財富網；〈台股風向…
2368,金像電,金像電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,金像電(2368)個股概覽|個股-股市-CMoney；6／3盤中熱門焦點股-證券-工商時報；盤勢分析》外資大買11…
2382,廣達,廣達產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【Hot台股】廣達緯創4檔「電子五哥」滿血復活飆漲停！網喊「最後一名是誰很明顯XD」分析師：黃仁勳光環加持-Yah…
2383,台光電,台光電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,千金股解密—台光電2383-自由時報；2383台光電-今天的盤，大叔看到主力的真心話-股市爆料同學會-CMoney…
2402,毅嘉,毅嘉產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,有神秘力量進場了!-CMoney；2402毅嘉-好事總是多磨持續加碼-股市爆料同學會-CMoney；2402毅嘉-…
2404,漢唐,漢唐產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,漢唐(2404)、巨漢(6903)法說會行情怎麼看？大戶投選股策略選股即將法說會個股｜豐雲學堂2026年06月-s…
2449,京元電子,京元電子產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,2449京元電子-散戶愛看新聞做股票，我就給你新聞-股市爆料同學會-CMoney；京元電子2449-自由時報；京元…
2454,聯發科,聯發科產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【Hot台股】聯發科5000元近關情怯...網哭「發哥晶片都秀出來了」分析師：平常心看待-Yahoo股市；創意(3…
2455,全新,全新產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,台股短線恐陷入修正?主動式ETF怎麼挑?艾綸點名下半年產業趨勢!|《雅筑會客室》EP33｜劉育綸、張雅筑-sino…
2467,志聖,志聖產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,2467志聖-G2C-股市爆料同學會-CMoney；台股再陷多空論戰，抓住幾個重點！我的好朋友台灣先生谷月涵，今天…
2481,強茂,強茂產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,2481強茂-幹被洗掉了-股市爆料同學會-CMoney；搭上功率升級潮，強茂今年獲利再拚近年高-Yahoo股市；強…
2486,一詮,一詮產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,光電全面爆發！「這檔」連10漲131%領友達、一詮、錸德等8檔漲停群創、國碩齊攻5%-Yahoo股市；2486一詮…
2912,統一超,統一超產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,慘淪台股盤面犧牲品？「這檔大咖股」慘崩6日淪弱勢股王董事坦言：產業加速淘汰中-Yahoo股市；【0602台股盤前】…
3008,大立光,大立光產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,大立光(3008)股價創5年新高，連創辦人林家都出手買自家股票，可以跟著進場？揭開老股王轉型密碼-今周刊；〈財經週…
3013,晟銘電,晟銘電產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,AI爆發「伺服器機殼廠」今爆量強攻準漲停！總經理親曝「生意還不錯」樂觀看下半年-Yahoo股市；3013晟銘電-套…
3017,奇鋐,奇鋐產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,Computex2026散熱液冷商機爆發，奇鋐、雙鴻、台達電指標股全面迎戰AI升級潮｜股市話題｜豐雲學堂2026年…
3023,信邦,信邦產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,"【0604台股盤前】土洋連四買加權飆破46,400新高！重電與證券接棒強攻，「月營收創12個月新高」:南亞科、信邦…"
3035,智原,智原產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【0602台股盤前】COMPUTEX今日開展，輝達、高通背板效應引爆，Computex強勢概念股:景碩(3189)…
3037,欣興,欣興產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,良率95%、成本砍半、AMD百億押注...台灣IC載板廠憑什麼吃到EFB這波？｜股市話題｜豐雲學堂2026年06月…
3042,晶技,晶技產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,〈焦點股〉龍頭廠晶技爆量漲停創新天價頻率元件族群受激勵走揚-Yahoo股市；3042晶技-以下是股東會內容各位覺得…
3044,健鼎,健鼎產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,良率95%、成本砍半、AMD百億押注...台灣IC載板廠憑什麼吃到EFB這波？｜股市話題｜豐雲學堂2026年06月…
3081,聯亞,聯亞產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,3081聯亞-恭喜(3081)聯亞亮燈漲停!-股市爆料同學會-CMoney；營收速報-聯亞(3081)5月營收4.…
3131,弘塑,弘塑產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,千金股解密—弘塑3131-自由時報；目標價衝上4000元！「半導體設備廠」入列40檔漲停股、PCB飆股戰第24根汽…
3163,波若威,波若威產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,【3163波若威】法說重點：CPO下半年量產，AI光纖動能強-CMoney；波若威去年12月EPS2.32元盛群0…
3167,大量,大量產業與產品定位待AI摘要補齊；請搭配年報、法說與產業資料更新護城河。,處置股追蹤0526／今日新增10檔，國巨、大毅、昇達科首入列，禾伸堂、大量再遭二度處置｜股市話題-sinotrad…
